"filename", "language", "C++", "comment", "blank", "total"
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Auto_Radius.h", "C++", 108, 29, 17, 154
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Chamfer.h", "C++", 2, 0, 1, 3
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Display.h", "C++", 82, 2, 21, 105
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Feed.h", "C++", 21, 1, 7, 29
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interface.h", "C++", 584, 44, 24, 652
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interrupts.h", "C++", 21, 3, 7, 31
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Main.cpp", "C++", 73, 26, 18, 117
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Menu.h", "C++", 351, 12, 24, 387
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Things_to_do.h", "C++", 0, 23, 1, 24
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Thread.h", "C++", 32, 19, 8, 59
"Total", "-", 1274, 159, 128, 1561
