"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","CL31B106KBHNNNE","ELS:CAPC3216X140N",""
"2","C2","1","CL32B226MOJNNNECAP_CL32_SAM-M","ELS:CAP_CL32_SAM-M",""
"3","ENCODER0, POWER_INPUT0, STEPPER1, STEPPER2","4","1-2834015-4","ELS:TE_1-2834015-4",""
"4","J1, J2, J3, J4, J5","5","B4B-PH-K-S_LF__SN_","SamacSys_Parts:SHDR4W50P0X200_1X4_990X450X600P",""
"5","PS1","1","P78E05-1000","ELS:CONV_P78E05-1000",""
"6","Q1, Q2, Q3, Q4, Q5, Q6","6","MMBT2222ALT3G","SamacSys_Parts:SOT96P237X111-3N",""
"7","R1, R6, R9, R12, R15, R18","6","CRCW12061K00FKEAC","ELS:RESC3216X60N",""
"8","R2, R7, R10, R13, R16, R19","6","CR1206-FX-8250ELF","ELS:RESC3216X75N",""
"9","R5, R8, R11, R14, R17, R20","6","CRCW1206220RFKEAC","ELS:RESC3216X60N",""
"10","R23, R24, R25, R26","4","CRCW12064K70FKEBC","SamacSys_Parts:RESC3216X60N",""
"11","TEENSY_4.0","1","TEENSY_4.0","ELS:TEENSY_4.0",""
